Paladio,,,,,Cobre,,
Tiempo[s],Ángulo[°],,,,Tiempo[s],Ángulo[°],
,Con Grafeno,Sin Grafeno,,,,Sin grafeno,Con grafeno
0,91.685,86.367,,,0,101.821,103.878
120,89.029,85.03,,,120,96.226,99.26
240,83.884,82.278,,,240,91.348,94.236
360,76.551,69.075,,,360,85.711,88.34
480,55.954,52.306,,,480,77.074,81.327
600,55.923,42.879,,,600,71.662,71.342
720,44.444,39.472,,,720,55.265,51.34
840,33.734,33.69,,,840,44.484,40.601
960,26.175,18.435,,,960,32.645,36.314
1080,21.801,14.931,,,1080,29.683,28.61
1200,17.961,13.707,,,1200,24.198,28.124
1320,13.241,12.339,,,1320,24.132,24.727
1440,8.489,5.389,,,1440,20.445,23.839
,,,,,,,
Silicio,,,,,Cobre,,
Tiempo[s],Ángulo[°],,,,Tiempo[s],Ángulo[°],
,Con Grafeno,Sin Grafeno,,,,Sin grafeno,Con grafeno
0,91.488,76.443,,,0,88.898,85.515
150,89.094,73.084,,,150,83.66,75.379
300,78.681,70.133,,,300,79.216,65.727
450,72.719,58.935,,,450,75.426,61.631
600,64.274,54.205,,,600,68.875,59.036
750,56.489,50.363,,,750,60.945,55.491
900,51.305,45.509,,,900,56.004,52.943
1050,49.261,39.806,,,1050,43.727,48.18
1200,47.726,35.538,,,1200,38.784,46.909
1350,44.444,29.275,,,1350,38.047,45
1500,41.285,18.435,,,1500,37.02,43.755
1650,26.565,0,,,1650,36.209,45.659
,,,,,1800,31.799,45.69
,,,,,1950,25.253,37.093
,,,,,2100,8.13,25.463
